tablescraper-selected-row,tablescraper-selected-row 2,tablescraper-selected-row 3,tablescraper-selected-row 4,tablescraper-selected-row 5,k-alt,k-alt 2,k-alt 3,k-alt 4,k-alt 5
SPOUSAL (cohab) ABUSE - AGGRAVATED ASSAULT,230200650,300 BLOCK N VERMONT AV,Los Angeles Police,4/13/2023 9:00 PM,,,,,
,,,,,ROBBERY (taking property of another by means of force or fear),230309321,VERMONT AV  & N EXPOSITION BL,Los Angeles Police,4/13/2023 7:30 PM
THEFT - PETTY (plain theft-petty) ($950 & under),230309317,4200 BLOCK S VERMONT AV,Los Angeles Police,4/13/2023 6:26 PM,,,,,
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),232008156,6TH ST  &  BERENDO,Los Angeles Police,4/13/2023 5:20 PM
THEFT FROM PERSON,230309316,LEIMERT BL  &  VERNON AV,Los Angeles Police,4/13/2023 4:00 PM,,,,,
,,,,,ROBBERY (taking property of another by means of force or fear),230309320,WESTERN AV  &  36TH PL,Los Angeles Police,4/13/2023 3:40 PM
ROBBERY (taking property of another by means of force or fear),231107831,1600 BLOCK W SUNSET BL,Los Angeles Police,4/13/2023 3:36 PM,,,,,
,,,,,ROBBERY (taking property of another by means of force or fear),230309319,WESTERN AV  &  35TH PL,Los Angeles Police,4/13/2023 3:30 PM
ROBBERY (taking property of another by means of force or fear),230309315,1500 BLOCK  EXPOSITION BL,Los Angeles Police,4/13/2023 3:15 PM,,,,,
,,,,,SHOPLIFTING - PETTY THEFT ($950 & under),231309126,4000 BLOCK S MAIN ST,Los Angeles Police,4/13/2023 2:40 PM
BURGLARY FROM VEHICLE,230110545,12TH ST  &  SANTEE,Los Angeles Police,4/13/2023 2:00 PM,,,,,
,,,,,"THEFT-GRAND (plain theft-grand) $950.01 & over (or $100 if fowl, livestock, produce, etc.)",231309122,3200 BLOCK S CENTRAL AV,Los Angeles Police,4/13/2023 11:30 AM
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230110531,6TH ST  &  SAN JULIAN,Los Angeles Police,4/13/2023 10:45 AM,,,,,
,,,,,"VEHICLE, STOLEN",231309131,1200 BLOCK S SANTA FE AV,Los Angeles Police,4/13/2023 9:45 AM
"VEHICLE, STOLEN",230407350,YELLOWSTONE ST  &  BOCA,Los Angeles Police,4/13/2023 9:30 AM,,,,,
,,,,,"RAPE, FORCIBLE (any age, non consensual sexual intercourse)",230208970,200 BLOCK  WELCOME ST,Los Angeles Police,4/13/2023 9:00 AM
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),231309120,100 BLOCK E 52ND ST,Los Angeles Police,4/13/2023 8:00 AM,,,,,
,,,,,ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),231309119,100 BLOCK E 52ND ST,Los Angeles Police,4/13/2023 8:00 AM
"VEHICLE, STOLEN",230407352,3200 BLOCK  PUEBLO AV,Los Angeles Police,4/13/2023 7:40 AM,,,,,
,,,,,THEFT FROM VEHICLE - PETTY ($950 & under),230110525,SANTA FE AV  &  WILLOW ST,Los Angeles Police,4/13/2023 6:45 AM
THEFT FROM VEHICLE - GRAND ($950.01 & over),230309311,W MONT CLAIR ST  &  11TH AV,Los Angeles Police,4/13/2023 6:40 AM,,,,,
,,,,,THEFT FROM VEHICLE - PETTY ($950 & under),232008144,VENICE   &  WESTERN,Los Angeles Police,4/13/2023 5:15 AM
"VEHICLE, STOLEN",230208952,1600 BLOCK W TEMPLE ST,Los Angeles Police,4/13/2023 5:05 AM,,,,,
,,,,,BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,231309121,800 BLOCK E WASHINGTON BL,Los Angeles Police,4/13/2023 3:35 AM
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230110487,300 BLOCK S HILL ST,Los Angeles Police,4/13/2023 2:20 AM,,,,,
,,,,,BURGLARY (entry of structure w/intent to commit theft or a felony) INCLUDES VESSELS,230708371,5400 BLOCK  WILSHIRE BL,Los Angeles Police,4/13/2023 2:15 AM
ASSAULT WITH DEADLY WEAPON (ADW) (likely to produce great bodily injury),230208950,2000 BLOCK W OLYMPIC BL,Los Angeles Police,4/13/2023 1:50 AM,,,,,
,,,,,"ASSAULT, NON-AGGRAVATED: DOMESTIC VIOLENCE",023-05034-0287,"600 BLK S HAY ST, LOS ANGELES, CA 90022",Los Angeles Sheriff (unincorp.),4/13/2023 12:16 AM
ROBBERY (taking property of another by means of force or fear),230110547,5TH ST  &  CENTRAL AV,Los Angeles Police,04-12-2023 23:45,,,,,
,,,,,"VEHICLE, STOLEN",231210069,54TH ST  &  HOOVER,Los Angeles Police,04-12-2023 23:40
BURGLARY - ATTEMPTED,230708373,100 BLOCK S LARCHMONT BL,Los Angeles Police,04-12-2023 23:36,,,,,
